,title,uri,transferOwnershipLog,scenarioLevel,scenarioType,coreFlag,customerImpact,automationScript,estimatedReplayTime,nbActors,definitionLeader,validationLeader,automationLeader,androidAutomationLeader,iOSAutomationLeader,targetDate
40,eDw-Print: Should pass for creating Normal and Draft quality of prints when printing .slddrw files in eDrawing,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B0F001D59FA,,,,,,,,,,,,,,
41,eDw-Print: Should pass for creating Normal and Draft quality of prints when printing .slddrw files in eDrawing,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B1300025AA0,,,,,,,,,,,,,,
42,eDw-Print: Should pass for creating PDF document in .slddrw file,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B1600046DBA,,,,,,,,,,,,,,
43,eDw-Print: Should pass for creating PDF document with different paper sizes,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B1D0001EAEA,,,,,,,,,,,,,,
44,eDw-Print: Should pass for creating PDF document with different paper sizes,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B20001AF8B4,,,,,,,,,,,,,,
45,eDw-Print: Should pass for creating PDF document with different paper sizes,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B24001064CC,,,,,,,,,,,,,,
46,eDw-Print: Should pass for creating PDF document with different paper sizes,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B280004823A,,,,,,,,,,,,,,
47,eDw-Print: Should pass for creating PDF document with different paper sizes,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B2B00182A5C,,,,,,,,,,,,,,
48,eDw-Print: Should pass for creating PDF document with different paper sizes,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B2F000AB1D0,,,,,,,,,,,,,,
49,eDw-Print: Should pass for creating PDF document with different paper sizes,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B330006EC8C,,,,,,,,,,,,,,
50,eDw-Print: Should pass for creating PDF document with different paper sizes,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B36001955B6,,,,,,,,,,,,,,
51,eDw-Print: Should pass for creating PDF document with different paper sizes,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B3A000DCCDC,,,,,,,,,,,,,,
52,eDw-Print: Should pass for creating PDF document with different paper sizes,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B3E00045292,,,,,,,,,,,,,,
53,eDw-Print: Should pass for fax document from 'Print' command,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B410014A43E,,,,,,,,,,,,,,
54,eDw-Print: Should pass for opening advanced property dialog box from OneNote Properties for Paper size and count copy,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B4300078EEA,,,,,,,,,,,,,,
55,eDw-Print: Should pass for Pan icon in Print Preview,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B47000EF7E2,,,,,,,,,,,,,,
56,eDw-Print: Should pass for printing all the sheet in drawing file in one go,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B4A000A73A2,,,,,,,,,,,,,,
57,eDw-Print: Should pass for printing annotations in 'Annotations Views',https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B4E000CBC48,,,,,,,,,,,,,,
58,eDw-Print: Should pass for printing EDU Watermark in SW Education files,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B550000B902,,,,,,,,,,,,,,
59,eDw-Print: Should pass for printing full watermark available in SW file,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B57000450C2,,,,,,,,,,,,,,
60,eDw-Print: Should pass for printing markup,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B580011E986,,,,,,,,,,,,,,
61,eDw-Print: Should pass for printing multiple pages with option 'Number of copies',https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B5B000B30F2,,,,,,,,,,,,,,
62,eDw-Print: Should pass for printing sheets in specific range,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B5C0016F1D8,,,,,,,,,,,,,,
63,eDrawings | E-Apps | NonReg | 2024x_FD01| eDrawings | eDrawings - eDw - Print,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenarioreplays/A26EAC56E87600006570D6FA000839E8,,,,,,,,,,,,,,
64,Definition Task,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/tasks/2CFDB056130F0000656B1AFD000FB2F6,,,,,,,,,,,,,,
65,Definition Validation,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/tasks/2CFDB056130F0000656B1AFD0012C14A,,,,,,,,,,,,,,
